ProgID,OrgName,ProgName,HEPgoal,IndicGrp,Indicator,ProgObjectv,QAPP,SpatExtnt,TempExtnt,Freq,Reference,Contact
BOPORS,Billion Oyster Project,Oyster Research Stations Monitoring Program ,Habitat and Ecological Health,Marine,Established Oyster Beds,"Civic scientists monitoring for oyster growth and mortality, factors that affect oyster performance (water quality), biodiversity (mobile and sessile). ",None,"Upper and Lower New York Bay, Jamaica, and Raritan Bays; Hudson, East, and Harlem Rivers (sites may have multiple ORSs for a combined estimate of 200 ORS) MAP AVAILABLE: https://www.google.com/maps/d/viewer?mid=1zg_nnVQeFr5TUcaFiG-a86qSjqiAvj55&hl=en_US&ll=40.83267521879814%2C-73.9933975&z=10",2010-present,"Monthly, 2x per year full protocol inspection",https://platform.bop.nyc/,"Anna Weiss, Billion Oyster Project, aweiss@billionoysterproject.org"
BOPCWQT,"Billion Oyster Project, NYCWTA",Community Water Quality Testing Program,Water Quality,Pathogens,Enterococcus,Understanding levels of Enterococcus in popular swimming and boating areas.,NA,"Upper and Lower New York Bay, Jamaica, and Raritan Bays; Hudson, East, and Harlem Rivers",2012-present,Weekly from May - September,https://docs.google.com/spreadsheets/d/1WwjSWC3vYhAwoQAGg_JoIR-xLqiNa7DAX8rJVCEhotc/edit#gid=0,"waterquality@billionoysterproject.org, Anna Weiss or Cody Herrmann"
BxRAdrop,Bronx River Alliance,Project Water DROP,Water Quality,"Pathogens, Nutrients, In Situ Parameters, Containments of Emerging Concern","Enterococcus, Nitrogen, Conductivity, Dissolved Oxygen, pH, Water Temperature, Salinity, Harmful Algal Blooms (HABs), Phosphorus, Chlorine, Chloride",Ambient water quality monitoring to inform analysis of fecal and/or nutrient pollution sources and concentrations and document nutrient levels at different study sites within the watershed.,"QAPP 2014, 2015, 2017
https://www.riverkeeper.org/wp-content/uploads/2017/02/QAPP-for-RVK-BxRA-HRWA-SLC-CURB-EPA-UWSG-FINAL.pdf",Bronx River (33 sites),2014-2019,minimum of 20 samples per season,,"Christian Murphy, christian.murphy@bronxriver.org"
BxRAwaste,Bronx River Alliance,Project WASTE,Water Quality,Floatable Debris,Floatable debris,"Document types, materials, quantities, brands, and sources of floatable pollution.","QAPP 2014, 2015, 2018",Bronx River; 7 sites for floatables,2014-present,multiple days throughout the year,,"Christian Murphy, christian.murphy@bronxriver.org"
BBPCEE,Brooklyn Bridge Park Conservancy,Environmental Education Programs,Community Engagement,Civic Engagement,Participation in Stewardship Organizations,Engages and educates students and families year-round about marine ecology and the local urban environment.,,"Brooklyn Bridge Park, 99 Plymouth Street",2008-present,daily,https://www.brooklynbridgepark.org/education/,"Brooklyn Bridge Park Conservancy, info@brooklynbridgepark.org"
BBPCfish,Brooklyn Bridge Park Conservancy,Fishing Clinics ,"Water Quality, Habitat and Ecological Health","Dissolved Oxygen, In Situ Parameters, Marine","Estuarine & Diadromous Fish Abundance, Growth, pH, Dissolved Oxygen, Salinity, Water Temperature, Turbidity","Working with expert anglers and a marine biologist, participants will learn the basics of line fishing, while contributing to an ecological survey ? helping to monitor the health of our river.",Self-developed monitoring protocol in conjunction with East River Ethological Alliance,"Brooklyn Bridge Park, Pier 5",2019-present,varies,https://www.brooklynbridgepark.org/events/citizen-science-fishing-clinics/,"Christina Tobitsch, ctobitsch@brooklynbridgepark.org"
BBPCsein,Brooklyn Bridge Park Conservancy,Seining ,"Water Quality, Habitat and Ecological Health","Marine, In Situ Parameters","Estuarine & Diadromous Fish Abundance, Growth, pH, Dissolved Oxygen, salinity, Water Temperature, Turbidity",Public education with community science data collection using a seine net in shallow waters to identify and count species collected and release at the end of the program. ,Self-developed monitoring protocol in conjunction with East River Ethological Alliance,"Brooklyn Bridge Park, Pier 4 Beach",2008-present,varies,https://www.brooklynbridgepark.org/events/seining,"Christina Tobitsch, ctobitsch@brooklynbridgepark.org"
BBPCkay,"Brooklyn Bridge Park Conservancy, Brooklyn Boathouse",Kayaking,"Public Access and Stewardship, Community Engagement","Stewardship and Use, Civic Engagement, Citizen Science","Participation in Stewardship Organizations, Capacity of Stewardship Organizations (# of staff and volunteers), On-Water Programs (# of visitors to boathouse overtime)","Providing free kayaking throughout the summer on Wednesday and Thursday evenings, and Saturdays.",,"Brooklyn Bridge Park, Pier 2",2010-present,3x week in summer,https://www.brooklynbridgepark.org/events/kayaking/,"Brooklyn Bridge Park Conservancy, info@brooklynbridgepark.org"
COAbeach,Clean Ocean Action,Beach Sweeps,"Water Quality, Community Engagement","Floatable Debris, Civic Engagement, Citizen Science","Debris collected on beaches, Participation in Stewardship Organizations, Capacity of Stewardship Organizations (# of staff and volunteers)",Clean beaches of unsightly and harmful debris; collect and record valuable data about debris.,,Varies,1985-present,"varies, April and October",http://www.cleanoceanaction.org/index.php?id=670,outreach@cleanoceanaction.org; 732-872-0111
COAnav,"Clean Ocean Action, NJDEP, Navesink River Municipalities Committee, American Littoral Society",Navesink River Citizen Water Monitoring Program Pathogen Source Track down ,Water Quality,"Pathogens, In Situ Parameters","Fecal Coliform, Enterococcus, E. coli, Total Suspended Solids, Turbidity, Water Temperature",Identify the sources of nonpoint source pollution that is impacting the shellfish growing waters along the Navesink River and Estuary.,QAPP,18 locations along Navesink River,mid-June 2017 - May 2018,Weekly,https://drive.google.com/drive/folders/0B0dr_qSdU0PcX243aEl0dmVjV1k,"Mae Henry, outreach@cleanwateraction.org, 732-872-0811"
CUNYLam,"CUNY Queens College, Lamont-Doherty Earth Observatory",Hudson River Tributary Water Quality Monitoring,Water Quality,"Dissolved Oxygen, Pathogens, In Situ Parameters","Enterococcus, Water Temperature, Salinity, Chlorophyll-a, Turbidity, pH, Dissolved Oxygen",Measure fecal indicator bacteria and engage the public.,Y- available on https://www.riverkeeper.org/water-quality/testing/,Hudson River - 74 stations,"2006-present, variations in stations",1x per month from May to October,https://www.riverkeeper.org/water-quality/citizen-data/,"Greg O'Mullan, gregory.omullan@qc.cuny.edu and Andrew Juhl, andyjuhl@ldeo.columbia.edu"
EPAbeach,EPA,Beaches Environmental Assessment and Coastal Health (BEACH) Act of 2000 ,Water Quality,Pathogens,Enterococcus,To help local authorities conduct bacteriological monitoring of their coastal and Great Lakes beaches and notify the public of water quality conditions that may be unsafe for swimming.,New York State Department of Health has an approved QAPP,public beaches,2004-present,seasonally/weekly,https://watersgeo.epa.gov/beacon2/reports.html,"Helen Grebe, Grebe.Helen@epa.gov"
EPAmst,EPA,Microbial Source Track down Program for Human Sources of Fecal Pollution,Water Quality,Pathogens,"Total coliform, Fecal Coliform, Enterococcus, E. coli, Human DNA Markers",To identify areas of fecal contamination from human sources using conventional micro parameters to measure against WQS and 2 human DNA markers (HumM2 and HF183) to determine relative levels of human origin Bacteroides. ,QAPP,Suspected areas of sewage inputs ,2014-2022,As requested by Program Offices,EPA Region 2 SOP B-49 - Human Associated Bacteroides in Water by qPCR Assay,"Jim Ferretti, Ferretti.Jim@epa.gov"
EPAncca,EPA,National Coastal Condition Assessment,"Water Quality, Habitat and Ecological Health, Port and Maritime","Dissolved Oxygen, Nutrients, In Situ Parameters, Marine, Toxics","Chlorophyll-a, Nitrogen, Phosphorus, Dissolved Oxygen, Salinity, Transparency (secchi), grain size, Total Organic Carbon, PCBs,  PAHs in sediment, Metals in sediment (Hg, Cr, Cd, Pb), Benthic Index of Biotic Integrity, Microsysthins; Body burdens of PCBs, dioxins, PFCs, Mercury and other heavy metals","To address two key questions about the quality of the Nation?s coastal waters: What percent of the Nation?s coastal waters are in good, fair, and poor condition for key indicators of water quality, ecological health, and recreation? What is the relative importance of key stressors such as nutrients and contaminated sediments? ",QAPP,Nationwide - a dozen or so sampling locations within HEP's core area for 2010 field season; 2015 sampling data online: 2020 provisional data online,"2010, 2015, 2020, 2025",Every 5 years,https://www.epa.gov/national-aquatic-resource-surveys/ncca,"Hugh Sullivan, Sullivan.Hugy@epa.gov"
EPAremap,EPA,Regional Environmental Monitoring and Assessment Program,"Water Quality, Habitat and Ecological Health, Port and Maritime","Dissolved Oxygen, In Situ Parameters, Marine, Toxics","Dissolved Oxygen, pH, Water Temperature, Salinity, Transparency (secchi), Metals in Sediment, Benthic Index of Biotic Integrity","Evaluate statistically whether the percent of area that is degraded or not degraded in each of the sub-basins with regard to sediment chemistry, benthic macroinvertebrates, and toxicity.",QAPP,28 probabilistically selected stations in each of 4 subareas; Upper Harbor; Newark Bay; Lower Harbor (includes Raritan and Sandy Hook Bay); Jamaica Bay,"1993/4, 1998, 2003, 2005, 2013 (July - early September)",Every 5 years (if possible),https://www.waterqualitydata.us/,
EPAsuper,EPA,Superfund Program,Port and Maritime,Toxics,"PCBs in sediment, PAHs in sediment, Dioxin in sediment, Metals in sediment, Loadings of contaminants","Responsible for cleaning up some of the nation?s most contaminated land and responding to environmental emergencies, oil spills and natural disasters. ",,"Hudson River (General Electric PCBs), Passaic River and Newark Bay, Chemours Pompton Lakes Works Site,  Gowanus Canal, Newtown Creek, Pierson's Creek, Berry's Creek (Ventron/Velsicol), Quanta Resources Corporation (Edgewater, NJ), Raritan Bay Slag",Varies,Varies,https://www.epa.gov/superfund,"Elizabeth Butler, butler.elizabeth@epa.gov"
Gotham,Gotham Whale,Citizen Science Monitoring for Pathogen Indicators Along the NJ Raritan Bayshore,Water Quality,"Dissolved Oxygen, Pathogens, In Situ Parameters","Water Temperature, Salinity, Dissolved Oxygen, pH, Enterococcus",To collect data and information on water quality for beaches along the Raritan Bayshore that are considered non-bathing beaches.,Citizen Science QAPP April 2016,"Staten Island, 7 sites seven sites along the north and south shores",2016 (June-October),5x per month for one time study,https://www.hudsonriver.org/wp-content/uploads/2017/10/Gotham-Whale-Pathogens-Monitoring-Final-Report.pdf,"Paul L. Sieswerda, Paul@GothamWhale.org"
GCCbiobl,"Gowanus Canal Conservancy, Maculay Honors College, Greenwood Cemetery",BioBlitz,Community Engagement,Civic Engagement,"Participation in Stewardship Organizations, Species Richness",Provide a snapshot of what's living in Gowanus at a time of rapid change associated with the Superfund clean up and development.,,"Gowanus Canal, Greenwood Cemetery",2017-2019,One time (2019),"(2017) https://www.inaturalist.org/projects/gcc-pilot-blitz (2018) https://www.inaturalist.org/projects/gowanus-bioblitz-2018 (2019) https://www.inaturalist.org/projects/2019-macaulay-honors-college-green-wood-and-gowanus-bioblitz?tab=observations (data from Maculay) https://eportfolios.macaulay.cuny.edu/bioblitz/2019/10/15/2019-green-wood-cemetery-gowanus-canal-bioblitz-data/
(2019) Gowanus Ecosystems Report https://gowanuscanalconservancy.org/wp-content/uploads/2020/04/2021-Gowanus-Ecosystems-Report-Draft-210611-optimized.pdf","Christine Petro, christine@gowanuscanalconservancy.org"
GDCCdrone,Gowanus Dredgers Canoe Club,Underwater Drone and Species Identification Program,Habitat and Ecological Health,Marine,Estuarine & Diadromous Fish Abundance,Inspecting underwater habitat types and developing a guide of observed species.,,Gowanus Canal,Throughout the year,monthly,http://gowanuscanal.org/gowanus-drone-explorations,Ashley Privett / Nicole Vergalla
GDCCcwqt,"Gowanus Dredgers Canoe Club, Billion Oyster Program",Citizens Water Quality Testing Program,Water Quality,Pathogens,Enterococcus,Weekly water test of Enterococcus bacteria to measure frequency of Combined Sewer Overflow (CSO) events. ,EPA-approved Enterolert system from IDEXX Laboratories ,"Gowanus Canal and Gowanus Bay to Sunset Park, but part of city wide network of sampling sites",May-November,weekly,New York City Dept of Health Enterococcus Standards    https://docs.google.com/spreadsheets/d/1WwjSWC3vYhAwoQAGg_JoIR-xLqiNa7DAX8rJVCEhotc/edit?mc_cid=1e729328d9&mc_eid=590d0dbd22#gid=0,Eymund Diegel 
GDCCmuss,"Gowanus Dredgers Canoe Club, Gowanus Canal Conservancy",Mussel Habitat Installation Program,Habitat and Ecological Health,Shoreline and Shallows,Shoreline and Habitat Unit Shell Counts,Testing prototypes of shoreline mussel habitats to increase mussel breeding in the Gowanus Canal.,,Gowanus Canal,"Throughout the year, warmer months",quarterly,https://www.awesomefoundation.org/en/projects/125691-ribbed-mussel-rehabilitation-project,Gary Francis 
